model_name,model_path,bleu,rougeL,rouge1,rouge2,sari,avg_jaccard_train_output,error,model_name_old,Sweep ID,Origin Folder,Dataset,Model Size,Metric Type,metric_epoch,metric_loss,metric_rouge1,metric_rouge2,metric_rougeL,metric_rougeLsum,metric_sari,metric_step,config_architectures,config_d_model,config_name_or_path,config_num_heads,config_num_layers,train_eval_batch_size,train_learning_rate,train_lr_scheduler,train_num_epochs,train_optimizer,train_train_batch_size,train_weight_decay,model_path_normalized
optuna_sweep_checkpoints,D:\trained_models\optuna_sweep_checkpoints,,,,,,,"Can't load tokenizer for 'D:\trained_models\optuna_sweep_checkpoints'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'D:\trained_models\optuna_sweep_checkpoints' is the correct path to a directory containing all relevant files for a GPT2TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\optuna_sweep_checkpoints
optuna_sweep_checkpoints_t5_large,D:\trained_models\optuna_sweep_checkpoints_t5_large,,,,,,,"Can't load tokenizer for 'D:\trained_models\optuna_sweep_checkpoints_t5_large'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'D:\trained_models\optuna_sweep_checkpoints_t5_large' is the correct path to a directory containing all relevant files for a GPT2TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\optuna_sweep_checkpoints_t5_large
optuna_sweep_checkpoints_t5_small_pretrained_wikilarge,D:\trained_models\optuna_sweep_checkpoints_t5_small_pretrained_wikilarge,,,,,,,"Can't load tokenizer for 'D:\trained_models\optuna_sweep_checkpoints_t5_small_pretrained_wikilarge'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'D:\trained_models\optuna_sweep_checkpoints_t5_small_pretrained_wikilarge' is the correct path to a directory containing all relevant files for a GPT2TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\optuna_sweep_checkpoints_t5_small_pretrained_wikilarge
optuna_sweep_checkpoints_t5_small_simplification_general_v1,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1,,,,,,,"Can't load tokenizer for 'D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1' is the correct path to a directory containing all relevant files for a GPT2TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v1
optuna_sweep_checkpoints_t5_small_simplification_general_v2,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2,,,,,,,"Can't load tokenizer for 'D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2' is the correct path to a directory containing all relevant files for a GPT2TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\optuna_sweep_checkpoints_t5_small_simplification_general_v2
bart_large_medical_output,bart_large_medical_output,,,,,,,"Can't load tokenizer for 'bart_large_medical_output'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'bart_large_medical_output' is the correct path to a directory containing all relevant files for a BartTokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,bart_large_medical_output
final_medical_finetune_t5_small,final_medical_finetune_t5_small,0.1942304467962809,0.33336964292890503,0.3884434251982708,0.21796425994954705,42.53954507802458,0.2852660845909778,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_medical_finetune_t5_small
final_t5_small_opt_sweep_pretrained_wiki_run4_check960,final_t5_small_opt_sweep_pretrained_wiki_run4_check960,0.2022358628848166,0.35178018938487554,0.3987533163740352,0.23362579284093593,44.77972780763375,0.2979632590892352,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_t5_small_opt_sweep_pretrained_wiki_run4_check960
final_t5_small_opt_sweep_pretrained_wiki_run4_check960_RUN2,final_t5_small_opt_sweep_pretrained_wiki_run4_check960_RUN2,0.1884363910535484,0.33471408831791744,0.3842051485871143,0.22435336693663332,42.621695587163565,0.29821051283029926,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_t5_small_opt_sweep_pretrained_wiki_run4_check960_RUN2
final_t5_small_simplification_antiparrot_fast,final_t5_small_simplification_antiparrot_fast,0.15713441491736294,0.3251319732762379,0.375656723836836,0.20804579918233473,38.08255771839244,0.2684645939341218,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_t5_small_simplification_antiparrot_fast
hpo_medical_finetune_t5_small,hpo_medical_finetune_t5_small,,,,,,,"Can't load tokenizer for 'hpo_medical_finetune_t5_small'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'hpo_medical_finetune_t5_small' is the correct path to a directory containing all relevant files for a T5TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,hpo_medical_finetune_t5_small
hpo_medical_simplification_t5_small,hpo_medical_simplification_t5_small,,,,,,,"Can't load tokenizer for 'hpo_medical_simplification_t5_small'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'hpo_medical_simplification_t5_small' is the correct path to a directory containing all relevant files for a T5TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,hpo_medical_simplification_t5_small
